file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList,numberOfLines
./OpenStack/horizon/horizon/middleware/operation_log.py,0,0,3,0,0,1,0,0,0,188
./OpenStack/horizon/horizon/middleware/simultaneous_sessions.py,0,0,0,0,0,0,0,0,0,50
./OpenStack/horizon/horizon/middleware/__init__.py,0,0,0,0,0,0,0,0,0,21
./OpenStack/horizon/horizon/tables/actions.py,3,7,9,0,8,8,0,1,0,964
./OpenStack/horizon/horizon/tables/base.py,21,12,23,0,7,11,0,6,3,1948
./OpenStack/horizon/horizon/tables/formset.py,0,0,1,0,1,1,0,0,0,173
./OpenStack/horizon/horizon/tables/views.py,5,1,8,0,10,2,0,3,0,433
./OpenStack/horizon/horizon/tables/__init__.py,0,0,0,0,0,0,0,0,0,55
./OpenStack/horizon/horizon/tabs/base.py,0,4,6,0,6,3,0,1,0,552
./OpenStack/horizon/horizon/tabs/views.py,0,1,3,0,2,1,0,0,0,156
./OpenStack/horizon/horizon/tabs/__init__.py,0,0,0,0,0,0,0,0,0,32
./OpenStack/horizon/horizon/templatetags/angular.py,0,0,0,0,0,1,0,0,0,115
./OpenStack/horizon/horizon/templatetags/bootstrap.py,0,0,0,0,0,0,0,0,0,57
./OpenStack/horizon/horizon/templatetags/branding.py,0,0,0,0,1,0,0,0,0,65
./OpenStack/horizon/horizon/templatetags/breadcrumb_nav.py,0,0,0,0,0,0,0,0,0,61
./OpenStack/horizon/horizon/templatetags/form_helpers.py,0,0,2,0,0,0,0,0,0,89
./OpenStack/horizon/horizon/templatetags/horizon.py,9,0,7,0,2,0,0,0,0,236
./OpenStack/horizon/horizon/templatetags/parse_date.py,0,0,1,0,0,0,0,0,0,51
./OpenStack/horizon/horizon/templatetags/shellfilter.py,0,0,0,0,0,0,0,0,0,30
./OpenStack/horizon/horizon/templatetags/sizeformat.py,0,0,1,0,0,0,0,0,0,98
./OpenStack/horizon/horizon/templatetags/splitfilter.py,0,0,0,0,0,0,0,0,0,22
./OpenStack/horizon/horizon/templatetags/truncate_filter.py,0,0,1,0,0,0,0,0,0,33
./OpenStack/horizon/horizon/templatetags/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/horizon/test/firefox_binary.py,0,0,0,0,0,0,0,0,0,112
./OpenStack/horizon/horizon/test/helpers.py,2,0,1,0,2,2,0,0,0,369
./OpenStack/horizon/horizon/test/settings.py,0,0,0,0,0,0,0,0,0,167
./OpenStack/horizon/horizon/test/urls.py,0,0,0,0,0,0,0,0,0,47
./OpenStack/horizon/horizon/test/utils.py,0,0,0,0,0,0,0,0,0,26
./OpenStack/horizon/horizon/test/webdriver.py,2,1,2,0,0,0,0,0,1,127
./OpenStack/horizon/horizon/test/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/horizon/utils/babel_extract_angular.py,1,0,0,0,0,1,0,1,0,170
./OpenStack/horizon/horizon/utils/csvbase.py,9,0,0,0,2,0,0,0,2,132
./OpenStack/horizon/horizon/utils/escape.py,0,0,0,0,0,0,0,0,0,31
./OpenStack/horizon/horizon/utils/file_discovery.py,0,0,0,0,0,0,0,0,0,116
./OpenStack/horizon/horizon/utils/filters.py,0,0,2,0,0,0,0,0,0,63
./OpenStack/horizon/horizon/utils/functions.py,2,1,5,0,0,0,0,0,0,190
./OpenStack/horizon/horizon/utils/html.py,1,0,0,0,0,1,0,0,0,80
./OpenStack/horizon/horizon/utils/http.py,0,0,0,0,0,0,0,0,0,28
./OpenStack/horizon/horizon/utils/lazy_encoder.py,0,0,1,0,0,0,0,0,0,25
./OpenStack/horizon/horizon/utils/memoized.py,0,1,2,0,0,3,0,0,0,138
./OpenStack/horizon/horizon/utils/scss_filter.py,0,0,0,0,0,0,0,0,0,44
./OpenStack/horizon/horizon/utils/secret_key.py,0,1,1,0,0,0,0,0,0,84
./OpenStack/horizon/horizon/utils/settings.py,0,0,2,0,0,0,0,0,0,45
./OpenStack/horizon/horizon/utils/validators.py,0,0,0,0,0,0,0,0,0,86
./OpenStack/horizon/horizon/utils/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/horizon/workflows/base.py,1,5,11,0,8,5,0,0,1,935
./OpenStack/horizon/horizon/workflows/views.py,0,2,1,0,0,2,0,0,1,227
./OpenStack/horizon/horizon/workflows/__init__.py,0,0,0,0,0,0,0,0,0,30
./OpenStack/horizon/openstack_auth/plugin/base.py,3,1,2,0,0,2,0,0,0,271
./OpenStack/horizon/openstack_auth/plugin/k2k.py,0,0,0,0,0,1,0,0,0,105
./OpenStack/horizon/openstack_auth/plugin/password.py,0,0,0,0,0,0,0,0,0,43
./OpenStack/horizon/openstack_auth/plugin/token.py,0,0,0,0,0,0,0,0,0,32
./OpenStack/horizon/openstack_auth/plugin/__init__.py,0,0,0,0,0,0,0,0,0,22
./OpenStack/horizon/openstack_auth/tests/data_v3.py,44,1,1,0,0,1,0,1,0,354
./OpenStack/horizon/openstack_auth/tests/settings.py,0,0,0,0,0,0,0,0,0,88
./OpenStack/horizon/openstack_auth/tests/urls.py,0,0,0,0,0,0,0,0,0,26
./OpenStack/horizon/openstack_auth/tests/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/openstack_dashboard/api/base.py,2,1,8,0,6,1,0,1,0,376
./OpenStack/horizon/openstack_dashboard/api/cinder.py,14,1,13,0,4,0,0,3,0,1245
./OpenStack/horizon/openstack_dashboard/api/glance.py,9,3,8,0,2,3,0,4,0,732
./OpenStack/horizon/openstack_dashboard/api/keystone.py,13,4,6,0,0,2,0,3,5,1021
./OpenStack/horizon/openstack_dashboard/api/microversions.py,0,0,1,0,0,0,0,0,0,97
./OpenStack/horizon/openstack_dashboard/api/network.py,0,0,0,0,0,0,0,0,0,43
./OpenStack/horizon/openstack_dashboard/api/neutron.py,35,0,24,0,4,7,0,4,1,2598
./OpenStack/horizon/openstack_dashboard/api/nova.py,9,0,3,0,0,0,0,4,1,1049
./OpenStack/horizon/openstack_dashboard/api/swift.py,4,1,7,0,2,1,0,0,1,437
./OpenStack/horizon/openstack_dashboard/api/_nova.py,3,0,1,0,0,1,0,0,0,199
./OpenStack/horizon/openstack_dashboard/api/__init__.py,0,1,0,0,0,0,0,0,0,53
./OpenStack/horizon/openstack_dashboard/contrib/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/openstack_dashboard/dashboards/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/openstack_dashboard/django_pyscss_fix/__init__.py,0,0,0,0,0,0,0,0,0,49
./OpenStack/horizon/openstack_dashboard/enabled/_1000_project.py,0,0,0,0,0,0,0,0,0,18
./OpenStack/horizon/openstack_dashboard/enabled/_1010_compute_panel_group.py,0,0,0,0,0,0,0,0,0,8
./OpenStack/horizon/openstack_dashboard/enabled/_1020_project_overview_panel.py,0,0,0,0,0,0,0,0,0,12
./OpenStack/horizon/openstack_dashboard/enabled/_1030_project_instances_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_1050_project_images_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_1080_project_key_pairs_panel.py,0,0,0,0,0,0,0,0,0,5
./OpenStack/horizon/openstack_dashboard/enabled/_1090_project_api_access_panel.py,0,0,0,0,0,0,0,0,0,6
./OpenStack/horizon/openstack_dashboard/enabled/_1110_project_server_groups_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_1310_volumes_panel_group.py,0,0,0,0,0,0,0,0,0,8
./OpenStack/horizon/openstack_dashboard/enabled/_1320_project_volumes_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_1330_project_backups_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_1330_project_snapshots_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_1360_project_volume_groups.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_1370_project_vg_snapshots.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_1410_network_panel_group.py,0,0,0,0,0,0,0,0,0,8
./OpenStack/horizon/openstack_dashboard/enabled/_1420_project_network_topology_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_1430_project_network_panel.py,0,0,0,0,0,0,0,0,0,9
